job_name	vcf_file	region	output_base
Chromosome2-201	Chromosome_2_RagTag-201.vcf.gz	Chromosome_2_RagTag:17100001-19100000	Chromosome2-201_out
Chromosome2-202	Chromosome_2_RagTag-202.vcf.gz	Chromosome_2_RagTag:19000001-21000000	Chromosome2-202_out
Chromosome2-203	Chromosome_2_RagTag-203.vcf.gz	Chromosome_2_RagTag:20900001-22900000	Chromosome2-203_out
Chromosome2-204	Chromosome_2_RagTag-204.vcf.gz	Chromosome_2_RagTag:22800001-24800000	Chromosome2-204_out
Chromosome2-205	Chromosome_2_RagTag-205.vcf.gz	Chromosome_2_RagTag:24700001-26700000	Chromosome2-205_out
Chromosome2-206	Chromosome_2_RagTag-206.vcf.gz	Chromosome_2_RagTag:26600001-28600000	Chromosome2-206_out
Chromosome2-207	Chromosome_2_RagTag-207.vcf.gz	Chromosome_2_RagTag:28500001-30500000	Chromosome2-207_out
Chromosome2-208	Chromosome_2_RagTag-208.vcf.gz	Chromosome_2_RagTag:30400001-32400000	Chromosome2-208_out
Chromosome2-209	Chromosome_2_RagTag-209.vcf.gz	Chromosome_2_RagTag:32300001-34300000	Chromosome2-209_out
Chromosome2-210	Chromosome_2_RagTag-210.vcf.gz	Chromosome_2_RagTag:34200001-36200000	Chromosome2-210_out
Chromosome2-211	Chromosome_2_RagTag-211.vcf.gz	Chromosome_2_RagTag:36100001-38100000	Chromosome2-211_out
Chromosome2-212	Chromosome_2_RagTag-212.vcf.gz	Chromosome_2_RagTag:38000001-40000000	Chromosome2-212_out
Chromosome2-213	Chromosome_2_RagTag-213.vcf.gz	Chromosome_2_RagTag:39900001-41900000	Chromosome2-213_out
Chromosome2-214	Chromosome_2_RagTag-214.vcf.gz	Chromosome_2_RagTag:41800001-43800000	Chromosome2-214_out
Chromosome2-215	Chromosome_2_RagTag-215.vcf.gz	Chromosome_2_RagTag:43700001-45700000	Chromosome2-215_out
Chromosome2-216	Chromosome_2_RagTag-216.vcf.gz	Chromosome_2_RagTag:45600001-47600000	Chromosome2-216_out
Chromosome2-217	Chromosome_2_RagTag-217.vcf.gz	Chromosome_2_RagTag:47500001-49500000	Chromosome2-217_out
Chromosome2-218	Chromosome_2_RagTag-218.vcf.gz	Chromosome_2_RagTag:49400001-51400000	Chromosome2-218_out
Chromosome2-219	Chromosome_2_RagTag-219.vcf.gz	Chromosome_2_RagTag:51300001-53300000	Chromosome2-219_out
Chromosome2-220	Chromosome_2_RagTag-220.vcf.gz	Chromosome_2_RagTag:53200001-55200000	Chromosome2-220_out
Chromosome2-221	Chromosome_2_RagTag-221.vcf.gz	Chromosome_2_RagTag:55100001-57100000	Chromosome2-221_out
